tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
100,Spring,100,492.7,101.02,73.67,0.0,0.246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.018,0.018,17,12,38,33,0,0,70.04
200,Spring,200,594.1,148.75,109.62,0.0,0.0,0.109,0.243,0.573,0.321,0.0,0.0,0.37,0.11,0.005,0.003,14,6,43,21,1,2,65.0
300,Spring,300,692.9,28.38,101.48,0.699,0.0,0.263,0.691,0.0,0.0,0.025,0.0,1.0,0.75,0.021,0.021,25,30,53,65,1,2,44.82
400,Spring,400,785.6,8.18,148.85,0.902,0.0,0.044,0.034,0.0,0.871,0.111,0.0,0.83,0.22,0.004,-0.003,5,13,27,57,2,3,69.35
500,Summer,0,880.4,101.03,79.85,0.0,0.216,0.108,0.369,0.753,0.0,0.0,0.0,0.05,1.0,0.001,0.001,1,39,10,83,4,3,73.0
600,Summer,100,1068.9,81.09,136.66,0.122,0.0,0.0,0.335,0.0,0.333,0.0,0.0,1.0,0.24,0.013,0.006,31,15,47,36,4,5,63.89
700,Summer,200,1254.3,150.0,150.0,0.0,0.0,0.087,0.096,0.732,0.878,0.0,0.0,0.37,0.16,0.006,0.004,28,9,51,42,5,6,70.01
800,Summer,300,1436.4,45.92,104.44,0.525,0.0,0.0,0.103,0.0,0.772,0.001,0.0,1.0,0.05,0.008,0.0,38,2,54,35,5,7,72.14
900,Summer,400,1609.7,129.24,144.98,0.0,0.0,0.287,0.428,0.0,0.0,0.0,0.0,0.6,0.27,0.013,0.013,30,27,55,45,6,8,61.29
1000,Autumn,0,1792.4,41.06,84.48,0.347,0.0,0.282,0.628,0.0,0.0,0.11,0.0,1.0,0.0,0.01,0.002,38,20,56,44,6,9,59.46
1100,Autumn,100,1827.4,148.73,101.91,0.0,0.0,0.333,0.612,0.56,0.0,0.0,0.0,0.18,0.0,0.006,0.003,13,42,33,66,7,9,57.38
1200,Autumn,200,1863.7,94.37,105.25,0.0,0.0,0.299,0.571,0.0,0.0,0.0,0.0,1.0,0.0,0.021,0.02,22,63,35,84,7,9,60.88
1300,Autumn,300,1899.9,38.17,87.58,0.478,0.002,0.309,0.682,0.0,0.0,0.068,0.0,1.0,0.0,0.019,0.018,33,82,41,102,7,9,51.43
1400,Autumn,400,1934.5,49.38,102.78,0.267,0.0,0.363,0.655,0.0,0.0,0.012,0.0,0.79,0.0,0.012,0.016,7,102,22,122,8,9,51.24
1500,Winter,0,1970.4,101.75,97.32,0.0,0.0,0.47,0.746,0.0,0.0,0.0,0.0,0.59,0.0,0.024,0.027,15,123,29,143,9,9,46.0
1600,Winter,100,1915.3,52.19,105.98,0.375,0.158,0.482,0.881,0.0,0.0,0.018,0.0,1.0,0.01,0.03,0.031,26,146,35,166,9,9,39.05
1700,Winter,200,1860.2,86.94,81.68,0.0,0.056,0.548,0.886,0.0,0.0,0.089,0.0,1.0,0.0,0.022,0.022,39,167,43,187,9,9,37.36
1800,Winter,300,1808.5,71.66,74.0,0.01,0.12,0.568,0.944,0.0,0.0,0.105,0.0,1.0,0.0,0.037,0.037,52,191,53,211,9,9,37.64
1900,Winter,400,1763.2,48.03,78.28,0.499,0.08,0.394,0.775,0.0,0.0,0.0,0.001,0.59,0.0,0.018,0.029,6,213,32,233,10,9,43.14
2000,Spring,0,1716.9,150.0,72.94,0.0,0.0,0.71,1.0,0.0,0.0,0.0,0.001,0.76,0.0,0.061,0.069,26,233,48,253,11,9,24.19
2100,Spring,100,1798.0,143.66,73.78,0.0,0.071,0.778,0.996,0.0,0.0,0.0,0.001,0.86,0.0,0.189,0.191,63,255,93,275,11,9,20.25
2200,Spring,200,1857.7,143.12,86.59,0.0,0.053,0.68,0.997,0.0,0.0,0.0,0.001,0.46,0.0,0.244,0.244,112,275,144,295,11,9,27.17
2300,Spring,300,1917.5,128.15,102.94,0.0,0.0,0.549,0.845,0.0,0.0,0.0,0.001,0.98,0.0,0.202,0.202,160,296,180,314,11,9,38.59
2400,Spring,400,1995.6,120.98,76.41,0.0,0.049,0.302,0.658,0.398,0.0,0.0,0.0,0.03,0.0,0.001,0.077,3,319,90,336,12,9,58.6
2500,Summer,0,2067.1,65.15,150.0,0.059,0.0,0.093,0.077,0.0,0.886,0.0,0.0,1.0,0.16,0.015,0.004,16,15,98,180,12,10,70.29
2600,Summer,100,2223.8,112.55,111.83,0.0,0.038,0.299,0.558,0.0,0.0,0.07,0.0,1.0,0.01,0.014,0.01,28,44,105,204,12,10,60.11
2700,Summer,200,2378.8,22.29,96.81,0.762,0.113,0.222,0.814,0.0,0.0,0.12,0.0,1.0,0.01,0.014,0.012,36,62,108,219,12,10,43.28
2800,Summer,300,2512.6,105.38,102.33,0.0,0.0,0.396,0.68,0.0,0.0,0.0,0.0,0.85,0.0,0.031,0.032,23,82,69,236,13,10,51.62
2900,Summer,400,2637.3,150.0,82.2,0.0,0.0,0.392,0.686,0.063,0.0,0.0,0.0,0.16,0.0,0.007,0.02,14,104,42,251,14,10,51.08
3000,Autumn,0,2755.3,71.67,85.14,0.265,0.012,0.375,0.712,0.0,0.0,0.0,0.0,1.0,0.0,0.034,0.039,25,122,43,265,14,10,52.35
3100,Autumn,100,2758.6,73.07,105.4,0.003,0.0,0.304,0.6,0.0,0.0,0.006,0.0,1.0,0.0,0.028,0.029,35,143,48,282,14,10,59.36
3200,Autumn,200,2762.4,35.47,98.23,0.594,0.0,0.23,0.627,0.0,0.0,0.153,0.0,1.0,0.0,0.014,0.015,44,164,54,302,14,10,56.08
3300,Autumn,300,2771.9,69.3,95.17,0.183,0.0,0.492,0.858,0.0,0.0,0.0,0.0,0.79,0.0,0.032,0.035,12,182,32,320,15,10,41.73
3400,Autumn,400,2781.1,60.17,93.36,0.385,0.0,0.472,0.863,0.0,0.0,0.0,0.0,0.37,0.0,0.018,0.025,2,199,16,335,16,10,39.56
3500,Winter,0,2787.2,68.79,103.65,0.055,0.0,0.527,0.845,0.0,0.0,0.023,0.0,1.0,0.0,0.037,0.04,15,218,25,352,16,10,41.11
3600,Winter,100,2716.9,81.96,110.26,0.125,0.0,0.342,0.615,0.0,0.0,0.0,0.0,0.42,0.09,0.016,0.03,4,241,16,366,17,10,54.59
3700,Winter,200,2646.8,83.03,95.23,0.0,0.0,0.384,0.703,0.0,0.0,0.0,0.0,1.0,0.0,0.025,0.03,16,258,23,382,17,10,53.15
