tick,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,distance
100,46.9,128.24,0.046,0.0,0.255,0.253,9,12,17,31,64.82
200,57.5,85.68,0.2,0.0,0.271,0.28,18,21,27,37,59.67
300,9.62,55.19,0.509,0.0,0.366,0.382,30,34,39,62,53.01
400,8.58,51.87,0.629,0.016,0.253,0.255,41,50,52,82,63.89
500,20.5,15.86,0.54,0.466,0.266,0.275,60,62,72,91,60.83
600,94.0,40.0,0.045,0.125,0.117,0.117,73,78,83,100,75.66
700,49.34,56.1,0.202,0.0,0.269,0.271,88,86,90,108,61.72
800,45.55,42.52,0.05,0.13,0.257,0.274,103,93,105,108,62.2
900,50.37,36.34,0.101,0.232,0.346,0.351,126,106,133,115,54.59
1000,21.69,53.5,0.278,0.12,0.379,0.369,144,117,149,117,53.85
1100,49.83,26.5,0.027,0.24,0.319,0.321,165,124,167,120,56.85
1200,31.5,36.49,0.21,0.14,0.179,0.177,173,132,167,122,68.41
1300,23.5,9.5,0.26,0.41,0.215,0.206,190,142,172,126,66.71
1400,10.0,86.5,0.395,0.12,0.191,0.175,200,151,171,129,69.31
1500,76.5,55.5,0.12,0.0,0.135,0.128,206,158,169,131,73.88
1600,46.5,54.0,0.23,0.215,0.142,0.158,214,169,167,132,70.72
1700,65.5,42.0,0.0,0.225,0.192,0.208,231,181,172,137,65.76
1800,57.5,24.5,0.14,0.64,0.133,0.125,242,189,176,137,74.25
1900,28.5,81.5,0.44,0.0,0.131,0.114,248,208,176,148,75.82
2000,1.0,48.5,0.575,0.17,0.2,0.208,256,214,174,148,67.18
2100,64.5,20.5,0.0,0.42,0.293,0.29,273,221,182,147,60.0
2200,58.5,11.5,0.01,0.42,0.158,0.141,284,232,180,153,72.84
2300,44.5,48.0,0.18,0.135,0.335,0.333,294,247,181,159,56.86
2400,42.5,49.5,0.12,0.1,0.124,0.141,305,258,182,158,71.51
